Niter, simple time, simple error, chebyshev time, chebyshev error, jakobi time, jakobi error, gs time, gs error, conjgrad time, conjgrad error
342,396,2.94486e-16,442,2.42643e+34,115,0,53,0,26,0
343,382,2.66222e-16,446,2.29922e+34,115,0,53,0,26,0
344,385,2.41967e-16,446,1.96675e+35,115,0,53,0,26,0
345,385,2.41967e-16,450,2.91169e+34,115,0,53,0,26,0
346,385,2.41967e-16,444,6.4152e+34,115,0,53,0,26,0
347,387,2.41967e-16,450,1.37879e+35,116,0,53,0,26,0
348,389,2.41967e-16,454,7.98375e+35,115,0,53,0,26,0
349,392,2.41967e-16,448,2.39222e+35,115,0,53,0,26,0
350,392,2.41967e-16,449,1.04427e+36,114,0,53,0,26,0
351,390,2.41967e-16,534,9.65844e+35,116,0,53,0,26,0
352,395,2.41967e-16,450,7.2206e+36,115,0,53,0,26,0
353,394,2.41967e-16,453,6.86992e+35,115,0,53,0,26,0
354,395,2.41967e-16,454,1.00334e+36,116,0,73,0,26,0
355,401,2.41967e-16,459,2.55445e+36,115,0,53,0,26,0
356,468,2.41967e-16,590,8.08072e+36,167,0,74,0,37,0
357,570,2.41967e-16,478,3.13526e+36,115,0,53,0,26,0
358,398,2.41967e-16,476,1.77581e+37,141,0,53,0,26,0
359,400,2.41967e-16,462,8.73191e+36,114,0,53,0,26,0
360,399,2.41967e-16,472,5.43525e+37,138,0,146,0,75,0
361,622,2.41967e-16,540,7.13933e+36,116,0,53,0,26,0
362,404,2.41967e-16,467,1.9014e+37,116,0,53,0,26,0
363,414,2.41967e-16,471,2.0904e+37,116,0,53,0,26,0
364,412,2.41967e-16,468,9.0685e+37,115,0,53,0,26,0
365,409,2.41967e-16,467,1.45516e+37,116,0,53,0,26,0
366,417,2.41967e-16,468,4.85134e+37,116,0,53,0,26,0
367,411,2.41967e-16,468,3.69402e+37,116,0,57,0,26,0
368,412,2.41967e-16,473,1.71701e+38,116,0,53,0,26,0
369,412,2.41967e-16,478,1.2934e+37,116,0,53,0,26,0
370,453,2.41967e-16,489,2.22122e+37,117,0,53,0,26,0
371,412,2.41967e-16,476,3.0208e+37,116,0,54,0,26,0
372,415,2.41967e-16,485,7.12229e+37,115,0,53,0,26,0
373,419,2.41967e-16,475,1.55563e+37,115,0,53,0,26,0
374,416,2.41967e-16,476,6.739e+37,116,0,53,0,26,0
375,419,2.41967e-16,492,2.69446e+37,115,0,53,0,26,0
376,424,2.41967e-16,480,1.24445e+38,115,0,53,0,26,0
377,423,2.41967e-16,480,9.79215e+36,118,0,53,0,26,0
378,421,2.41967e-16,490,2.10724e+37,115,0,53,0,26,0
379,425,2.41967e-16,484,1.80528e+37,114,0,52,0,49,0
380,455,2.41967e-16,486,4.2981e+37,114,0,53,0,27,0
381,433,2.41967e-16,486,5.91088e+36,114,0,53,0,26,0
382,425,2.41967e-16,486,2.039e+37,115,0,53,0,26,0
383,432,2.41967e-16,487,8.7197e+36,114,0,53,0,26,0
384,435,2.41967e-16,488,2.97335e+37,115,0,52,0,26,0
385,432,2.41967e-16,489,1.51101e+36,118,0,53,0,26,0
386,431,2.41967e-16,492,1.96049e+36,115,0,53,0,26,0
387,440,2.41967e-16,493,2.25185e+36,114,0,53,0,26,0
388,432,2.41967e-16,493,2.66465e+36,115,0,53,0,26,0
389,435,2.41967e-16,541,5.42048e+35,116,0,54,0,27,0
390,449,2.41967e-16,494,1.98569e+36,116,0,53,0,26,0
391,437,2.41967e-16,495,4.13182e+35,115,0,53,0,26,0
392,432,2.41967e-16,495,1.44195e+36,119,0,53,0,26,0
393,444,2.41967e-16,499,1.07434e+35,116,0,53,0,27,0
394,440,2.41967e-16,504,2.68814e+35,115,0,53,0,26,0
395,439,2.41967e-16,503,1.19381e+35,116,0,60,0,26,0
396,440,2.41967e-16,505,2.3151e+35,116,0,53,0,26,0
397,444,2.41967e-16,505,1.70787e+34,116,0,53,0,27,0
398,446,2.41967e-16,554,4.34736e+34,117,0,53,0,26,0
399,446,2.41967e-16,510,1.64798e+34,117,0,53,0,26,0
400,447,2.41967e-16,508,3.03882e+34,116,0,53,0,26,0
401,448,2.41967e-16,521,1.33638e+33,116,0,53,0,26,0
402,458,2.41967e-16,513,2.30039e+33,116,0,53,0,27,0
403,453,2.41967e-16,515,1.26134e+33,116,0,53,0,26,0
404,457,2.41967e-16,521,1.37146e+33,117,0,53,0,26,0
405,454,2.41967e-16,515,1.35708e+32,115,0,53,0,26,0
406,451,2.41967e-16,527,3.7528e+32,115,0,59,0,26,0
407,494,2.41967e-16,654,7.88536e+31,116,0,53,0,27,0
